State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Act identifier,Matched keywords,Introduced date,Effective date,Passed introduced chamber date,Passed second chamber date,Dead date,Enacted (Y/N),Enacted Date
Ohio,122,SB4,,,https://legislature.ohio.gov/legislation/122/sb4,ohio_bill_texts\GA122_SB4.txt,,,Citizenship,,,,,,N,
Ohio,122,SB34,,,https://legislature.ohio.gov/legislation/122/sb34,ohio_bill_texts\GA122_SB34.txt,,,Foreign,,,,,,N,
Ohio,122,SB72,,,https://legislature.ohio.gov/legislation/122/sb72,ohio_bill_texts\GA122_SB72.txt,,,Citizenship,,,,,,N,
Ohio,122,SB76,,,https://legislature.ohio.gov/legislation/122/sb76,ohio_bill_texts\GA122_SB76.txt,,,Border,,,,,,N,
Ohio,122,SB95,,,https://legislature.ohio.gov/legislation/122/sb95,ohio_bill_texts\GA122_SB95.txt,,,Alien; Foreign,,,,,,N,
Ohio,122,SB101,,,https://legislature.ohio.gov/legislation/122/sb101,ohio_bill_texts\GA122_SB101.txt,,,Foreign,,,,,,N,
Ohio,122,SB135,,,https://legislature.ohio.gov/legislation/122/sb135,ohio_bill_texts\GA122_SB135.txt,,,Citizenship,,,,,,N,
Ohio,122,SB159,,,https://legislature.ohio.gov/legislation/122/sb159,ohio_bill_texts\GA122_SB159.txt,,,Foreign,,,,,,N,
Ohio,122,SB176,,,https://legislature.ohio.gov/legislation/122/sb176,ohio_bill_texts\GA122_SB176.txt,,,Migrant; Foreign,,,,,,N,
Ohio,122,SB177,,,https://legislature.ohio.gov/legislation/122/sb177,ohio_bill_texts\GA122_SB177.txt,,,Border,,,,,,N,
Ohio,122,SB179,,,https://legislature.ohio.gov/legislation/122/sb179,ohio_bill_texts\GA122_SB179.txt,,,Citizenship,,,,,,N,
Ohio,122,SB180,,,https://legislature.ohio.gov/legislation/122/sb180,ohio_bill_texts\GA122_SB180.txt,,,Foreign,,,,,,N,
Ohio,122,SB196,,,https://legislature.ohio.gov/legislation/122/sb196,ohio_bill_texts\GA122_SB196.txt,,,Foreign,,,,,,N,
Ohio,122,SB206,,,https://legislature.ohio.gov/legislation/122/sb206,ohio_bill_texts\GA122_SB206.txt,,,Foreign,,,,,,N,
Ohio,122,SB210,,,https://legislature.ohio.gov/legislation/122/sb210,ohio_bill_texts\GA122_SB210.txt,,,Foreign,,,,,,N,
Ohio,122,SB216,,,https://legislature.ohio.gov/legislation/122/sb216,ohio_bill_texts\GA122_SB216.txt,,,Alien; Foreign,,,,,,N,
Ohio,122,SB237,,,https://legislature.ohio.gov/legislation/122/sb237,ohio_bill_texts\GA122_SB237.txt,,,Foreign,,,,,,N,
Ohio,122,SB252,,,https://legislature.ohio.gov/legislation/122/sb252,ohio_bill_texts\GA122_SB252.txt,,,Foreign,,,,,,N,
Ohio,122,SB256,,,https://legislature.ohio.gov/legislation/122/sb256,ohio_bill_texts\GA122_SB256.txt,,,Border,,,,,,N,
Ohio,122,SB281,,,https://legislature.ohio.gov/legislation/122/sb281,ohio_bill_texts\GA122_SB281.txt,,,Foreign,,,,,,N,
Ohio,122,SB286,,,https://legislature.ohio.gov/legislation/122/sb286,ohio_bill_texts\GA122_SB286.txt,,,Foreign,,,,,,N,
Ohio,122,HB8,,,https://legislature.ohio.gov/legislation/122/hb8,ohio_bill_texts\GA122_HB8.txt,,,Foreign,,,,,,N,
Ohio,122,HB15,,,https://legislature.ohio.gov/legislation/122/hb15,ohio_bill_texts\GA122_HB15.txt,,,Foreign,,,,,,N,
Ohio,122,HB36,,,https://legislature.ohio.gov/legislation/122/hb36,ohio_bill_texts\GA122_HB36.txt,,,Foreign,,,,,,N,
Ohio,122,HB38,,,https://legislature.ohio.gov/legislation/122/hb38,ohio_bill_texts\GA122_HB38.txt,,,Foreign,,,,,,N,
Ohio,122,HB42,,,https://legislature.ohio.gov/legislation/122/hb42,ohio_bill_texts\GA122_HB42.txt,,,Foreign,,,,,,N,
Ohio,122,HB57,,,https://legislature.ohio.gov/legislation/122/hb57,ohio_bill_texts\GA122_HB57.txt,,,Foreign,,,,,,N,
Ohio,122,HB79,,,https://legislature.ohio.gov/legislation/122/hb79,ohio_bill_texts\GA122_HB79.txt,,,Foreign,,,,,,N,
Ohio,122,HB100,,,https://legislature.ohio.gov/legislation/122/hb100,ohio_bill_texts\GA122_HB100.txt,,,Foreign,,,,,,N,
Ohio,122,HB136,,,https://legislature.ohio.gov/legislation/122/hb136,ohio_bill_texts\GA122_HB136.txt,,,Foreign,,,,,,N,
Ohio,122,HB138,,,https://legislature.ohio.gov/legislation/122/hb138,ohio_bill_texts\GA122_HB138.txt,,,Foreign,,,,,,N,
Ohio,122,HB145,,,https://legislature.ohio.gov/legislation/122/hb145,ohio_bill_texts\GA122_HB145.txt,,,Foreign,,,,,,N,
Ohio,122,HB154,,,https://legislature.ohio.gov/legislation/122/hb154,ohio_bill_texts\GA122_HB154.txt,,,Foreign,,,,,,N,
Ohio,122,HB157,,,https://legislature.ohio.gov/legislation/122/hb157,ohio_bill_texts\GA122_HB157.txt,,,Foreign,,,,,,N,
Ohio,122,HB160,,,https://legislature.ohio.gov/legislation/122/hb160,ohio_bill_texts\GA122_HB160.txt,,,Foreign,,,,,,N,
Ohio,122,HB175,,,https://legislature.ohio.gov/legislation/122/hb175,ohio_bill_texts\GA122_HB175.txt,,,Foreign,,,,,,N,
Ohio,122,HB181,,,https://legislature.ohio.gov/legislation/122/hb181,ohio_bill_texts\GA122_HB181.txt,,,Foreign,,,,,,N,
Ohio,122,HB184,,,https://legislature.ohio.gov/legislation/122/hb184,ohio_bill_texts\GA122_HB184.txt,,,Citizenship,,,,,,N,
Ohio,122,HB190,,,https://legislature.ohio.gov/legislation/122/hb190,ohio_bill_texts\GA122_HB190.txt,,,Foreign,,,,,,N,
Ohio,122,HB193,,,https://legislature.ohio.gov/legislation/122/hb193,ohio_bill_texts\GA122_HB193.txt,,,Border,,,,,,N,
Ohio,122,HB201,,,https://legislature.ohio.gov/legislation/122/hb201,ohio_bill_texts\GA122_HB201.txt,,,Foreign,,,,,,N,
Ohio,122,HB213,,,https://legislature.ohio.gov/legislation/122/hb213,ohio_bill_texts\GA122_HB213.txt,,,Foreign,,,,,,N,
Ohio,122,HB218,,,https://legislature.ohio.gov/legislation/122/hb218,ohio_bill_texts\GA122_HB218.txt,,,Foreign,,,,,,N,
Ohio,122,HB222,,,https://legislature.ohio.gov/legislation/122/hb222,ohio_bill_texts\GA122_HB222.txt,,,Alien; Foreign,,,,,,N,
Ohio,122,HB232,,,https://legislature.ohio.gov/legislation/122/hb232,ohio_bill_texts\GA122_HB232.txt,,,Migrant,,,,,,N,
Ohio,122,HB265,,,https://legislature.ohio.gov/legislation/122/hb265,ohio_bill_texts\GA122_HB265.txt,,,Alien; Foreign,,,,,,N,
Ohio,122,HB270,,,https://legislature.ohio.gov/legislation/122/hb270,ohio_bill_texts\GA122_HB270.txt,,,Citizenship,,,,,,N,
Ohio,122,HB274,,,https://legislature.ohio.gov/legislation/122/hb274,ohio_bill_texts\GA122_HB274.txt,,,Citizenship,,,,,,N,
Ohio,122,HB296,,,https://legislature.ohio.gov/legislation/122/hb296,ohio_bill_texts\GA122_HB296.txt,,,Citizenship; Foreign,,,,,,N,
Ohio,122,HB308,,,https://legislature.ohio.gov/legislation/122/hb308,ohio_bill_texts\GA122_HB308.txt,,,Immigration; Foreign,,,,,,N,
Ohio,122,HB313,,,https://legislature.ohio.gov/legislation/122/hb313,ohio_bill_texts\GA122_HB313.txt,,,Foreign,,,,,,N,
Ohio,122,HB337,,,https://legislature.ohio.gov/legislation/122/hb337,ohio_bill_texts\GA122_HB337.txt,,,Foreign,,,,,,N,
Ohio,122,HB373,,,https://legislature.ohio.gov/legislation/122/hb373,ohio_bill_texts\GA122_HB373.txt,,,Citizenship; Foreign,,,,,,N,
Ohio,122,HB376,,,https://legislature.ohio.gov/legislation/122/hb376,ohio_bill_texts\GA122_HB376.txt,,,Alien; Foreign,,,,,,N,
Ohio,122,HB389,,,https://legislature.ohio.gov/legislation/122/hb389,ohio_bill_texts\GA122_HB389.txt,,,Citizenship,,,,,,N,
Ohio,122,HB393,,,https://legislature.ohio.gov/legislation/122/hb393,ohio_bill_texts\GA122_HB393.txt,,,Foreign,,,,,,N,
Ohio,122,HB406,,,https://legislature.ohio.gov/legislation/122/hb406,ohio_bill_texts\GA122_HB406.txt,,,Immigration; Alien,,,,,,N,
Ohio,122,HB407,,,https://legislature.ohio.gov/legislation/122/hb407,ohio_bill_texts\GA122_HB407.txt,,,Foreign,,,,,,N,
Ohio,122,HB413,,,https://legislature.ohio.gov/legislation/122/hb413,ohio_bill_texts\GA122_HB413.txt,,,Citizenship,,,,,,N,
Ohio,122,HB430,,,https://legislature.ohio.gov/legislation/122/hb430,ohio_bill_texts\GA122_HB430.txt,,,Foreign,,,,,,N,
Ohio,122,HB432,,,https://legislature.ohio.gov/legislation/122/hb432,ohio_bill_texts\GA122_HB432.txt,,,Foreign,,,,,,N,
Ohio,122,HB436,,,https://legislature.ohio.gov/legislation/122/hb436,ohio_bill_texts\GA122_HB436.txt,,,Foreign,,,,,,N,
Ohio,122,HB466,,,https://legislature.ohio.gov/legislation/122/hb466,ohio_bill_texts\GA122_HB466.txt,,,Alien,,,,,,N,
Ohio,122,HB468,,,https://legislature.ohio.gov/legislation/122/hb468,ohio_bill_texts\GA122_HB468.txt,,,Immigration; Alien; Foreign,,,,,,N,
Ohio,122,HB477,,,https://legislature.ohio.gov/legislation/122/hb477,ohio_bill_texts\GA122_HB477.txt,,,Citizenship; Foreign,,,,,,N,
Ohio,122,HB480,,,https://legislature.ohio.gov/legislation/122/hb480,ohio_bill_texts\GA122_HB480.txt,,,Citizenship,,,,,,N,
Ohio,122,HB492,,,https://legislature.ohio.gov/legislation/122/hb492,ohio_bill_texts\GA122_HB492.txt,,,Citizenship,,,,,,N,
Ohio,122,HB495,,,https://legislature.ohio.gov/legislation/122/hb495,ohio_bill_texts\GA122_HB495.txt,,,Foreign,,,,,,N,
Ohio,122,HB505,,,https://legislature.ohio.gov/legislation/122/hb505,ohio_bill_texts\GA122_HB505.txt,,,Alien; Foreign,,,,,,N,
