State,GA,Bill Identifier,URL,Path to full text,Keywords
Illinois,93,HB0019,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0019.htm,illinois/billtexts/GA93/HB0019.txt,Alien
Illinois,93,HB0029,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0029.htm,illinois/billtexts/GA93/HB0029.txt,Citizenship
Illinois,93,HB0043,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0043.htm,illinois/billtexts/GA93/HB0043.txt,Foreign
Illinois,93,HB0054,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0054.htm,illinois/billtexts/GA93/HB0054.txt,Foreign
Illinois,93,HB0060,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0060.htm,illinois/billtexts/GA93/HB0060.txt,"Immigration, Alien"
Illinois,93,HB0087,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0087.htm,illinois/billtexts/GA93/HB0087.txt,"Immigration, Alien"
Illinois,93,HB0102,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0102.htm,illinois/billtexts/GA93/HB0102.txt,Foreign
Illinois,93,HB0117,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0117.htm,illinois/billtexts/GA93/HB0117.txt,Foreign
Illinois,93,HB0118,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0118.htm,illinois/billtexts/GA93/HB0118.txt,"Immigration, Alien"
Illinois,93,HB0127,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0127.htm,illinois/billtexts/GA93/HB0127.txt,Foreign
Illinois,93,HB0208,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0208.htm,illinois/billtexts/GA93/HB0208.txt,Foreign
Illinois,93,HB0213,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0213.htm,illinois/billtexts/GA93/HB0213.txt,"Immigration, Alien"
Illinois,93,HB0240,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0240.htm,illinois/billtexts/GA93/HB0240.txt,Foreign
Illinois,93,HB0253,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0253.htm,illinois/billtexts/GA93/HB0253.txt,Foreign
Illinois,93,HB0269,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0269.htm,illinois/billtexts/GA93/HB0269.txt,Foreign
Illinois,93,HB0271,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0271.htm,illinois/billtexts/GA93/HB0271.txt,Foreign
Illinois,93,HB0312,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0312.htm,illinois/billtexts/GA93/HB0312.txt,Foreign
Illinois,93,HB0315,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0315.htm,illinois/billtexts/GA93/HB0315.txt,Foreign
Illinois,93,HB0350,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0350.htm,illinois/billtexts/GA93/HB0350.txt,Foreign
Illinois,93,HB0358,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0358.htm,illinois/billtexts/GA93/HB0358.txt,Alien
Illinois,93,HB0425,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0425.htm,illinois/billtexts/GA93/HB0425.txt,Foreign
Illinois,93,HB0451,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0451.htm,illinois/billtexts/GA93/HB0451.txt,Foreign
Illinois,93,HB0464,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0464.htm,illinois/billtexts/GA93/HB0464.txt,Foreign
Illinois,93,HB0468,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0468.htm,illinois/billtexts/GA93/HB0468.txt,Foreign
Illinois,93,HB0489,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0489.htm,illinois/billtexts/GA93/HB0489.txt,Foreign
Illinois,93,HB0546,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0546.htm,illinois/billtexts/GA93/HB0546.txt,"Citizenship, Foreign"
Illinois,93,HB0680,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0680.htm,illinois/billtexts/GA93/HB0680.txt,Immigration
Illinois,93,HB0891,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0891.htm,illinois/billtexts/GA93/HB0891.txt,Foreign
Illinois,93,HB1120,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1120.htm,illinois/billtexts/GA93/HB1120.txt,Foreign
Illinois,93,HB1152,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1152.htm,illinois/billtexts/GA93/HB1152.txt,Immigration
Illinois,93,HB1157,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1157.htm,illinois/billtexts/GA93/HB1157.txt,Foreign
Illinois,93,HB1162,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1162.htm,illinois/billtexts/GA93/HB1162.txt,Foreign
Illinois,93,HB1167,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1167.htm,illinois/billtexts/GA93/HB1167.txt,Border
Illinois,93,HB1168,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1168.htm,illinois/billtexts/GA93/HB1168.txt,Border
Illinois,93,HB1204,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1204.htm,illinois/billtexts/GA93/HB1204.txt,Foreign
Illinois,93,HB1234,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1234.htm,illinois/billtexts/GA93/HB1234.txt,"Immigration, Border"
Illinois,93,HB1236,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1236.htm,illinois/billtexts/GA93/HB1236.txt,"Immigration, Alien"
Illinois,93,HB1237,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1237.htm,illinois/billtexts/GA93/HB1237.txt,"Immigration, Alien"
Illinois,93,HB1261,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1261.htm,illinois/billtexts/GA93/HB1261.txt,Foreign
Illinois,93,HB1296,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1296.htm,illinois/billtexts/GA93/HB1296.txt,Foreign
Illinois,93,HB1330,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1330.htm,illinois/billtexts/GA93/HB1330.txt,Foreign
Illinois,93,HB1352,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1352.htm,illinois/billtexts/GA93/HB1352.txt,Citizenship
Illinois,93,HB1365,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1365.htm,illinois/billtexts/GA93/HB1365.txt,Foreign
Illinois,93,HB1376,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1376.htm,illinois/billtexts/GA93/HB1376.txt,Foreign
Illinois,93,HB1381,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1381.htm,illinois/billtexts/GA93/HB1381.txt,Foreign
Illinois,93,HB1416,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1416.htm,illinois/billtexts/GA93/HB1416.txt,Foreign
Illinois,93,HB1432,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1432.htm,illinois/billtexts/GA93/HB1432.txt,"Immigration, Alien"
Illinois,93,HB1451,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1451.htm,illinois/billtexts/GA93/HB1451.txt,Citizenship
Illinois,93,HB1486,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1486.htm,illinois/billtexts/GA93/HB1486.txt,Visa
Illinois,93,HB1515,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1515.htm,illinois/billtexts/GA93/HB1515.txt,Foreign
Illinois,93,HB1521,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1521.htm,illinois/billtexts/GA93/HB1521.txt,Foreign
Illinois,93,HB1536,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1536.htm,illinois/billtexts/GA93/HB1536.txt,"Immigration, Alien, Visa, Foreign"
Illinois,93,HB1537,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1537.htm,illinois/billtexts/GA93/HB1537.txt,Border
Illinois,93,HB1567,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1567.htm,illinois/billtexts/GA93/HB1567.txt,Foreign
Illinois,93,HB1573,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1573.htm,illinois/billtexts/GA93/HB1573.txt,Foreign
Illinois,93,HB1596,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1596.htm,illinois/billtexts/GA93/HB1596.txt,Foreign
Illinois,93,HB1603,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1603.htm,illinois/billtexts/GA93/HB1603.txt,Border
Illinois,93,HB1604,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1604.htm,illinois/billtexts/GA93/HB1604.txt,"Immigration, Alien"
Illinois,93,HB1633,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1633.htm,illinois/billtexts/GA93/HB1633.txt,Foreign
Illinois,93,HB1730,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1730.htm,illinois/billtexts/GA93/HB1730.txt,Foreign
Illinois,93,HB1976,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1976.htm,illinois/billtexts/GA93/HB1976.txt,Foreign
