State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Act identifier,Matched keywords,Introduced date,Effective date,Passed introduced chamber date,Passed second chamber date,Dead date,Enacted (Y/N),Enacted Date
Illinois,93,HB0019,Rep. Lou Lang-Thomas Holbrook-Jay C. Hoffman-Brandon W. Phelps-Gary Forby and Naomi D. Jakobsson,,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0019.htm,illinois/billtexts/GA93/HB0019.txt,,,Alien,,"July 1, 2004",,,,,
Illinois,93,HB0029,Rep. Lou Lang-John A. Fritchey,,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0029.htm,illinois/billtexts/GA93/HB0029.txt,,,Citizenship,,,,,,,
Illinois,93,HB0043,"Rep. Daniel J. Burke-William B. Black-Mary E. Flowers-John A. Fritchey-Sara Feigenholtz, Harry Osterman, Julie Hamos, Constance A. Howard, George Scully, Jr., Monique D. Davis, Elaine Nekritz, Joseph M. Lyons, Richard T. Bradley, Steve Davis, David E. Miller, Arthur L. Turner, John Philip Novak, Bob Biggins, Angelo Saviano, Jack McGuire, Kevin A. McCarthy, Kathleen A. Ryg, Patricia Bailey, Karen May, Robin Kelly, Brent Hassert, Linda Chapa LaVia, Mary K. O'Brien, Robert S. Molaro, Ralph C. Capparelli, Marlow H. Colvin, Donald L. Moffitt, Deborah L. Graham, Karen A. Yarbrough, Mike Boland, Kenneth Dunkin, Lou Lang, Sidney H. Mathias, JoAnn D. Osmond, Susana Mendoza, Edward J. Acevedo, William Delgado, Cynthia Soto, Lovana Jones, Eddie Washington, Annazette Collins, William Davis and Robert Rita | (Sen. M. Maggie Crotty-Martin A. Sandoval-Ira I. Silverstein-Kathleen L. Wojcik-Dan Cronin, Kimberly A. Lightford, Iris Y. Martinez, Mattie Hunter, Edward D. Maloney and Jacqueline Y. Collins)",,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0043.htm,illinois/billtexts/GA93/HB0043.txt,,,Foreign,,,,,,,
Illinois,93,HB0054,"Rep. Lou Lang-Brandon W. Phelps-Gary Forby-Jay C. Hoffman-Naomi D. Jakobsson, Mary E. Flowers, Patricia Bailey, Kathleen A. Ryg, Dan Reitz, Jack McGuire, Robin Kelly, Monique D. Davis, Eddie Washington, Robert S. Molaro, Richard T. Bradley, Ralph C. Capparelli, Mike Boland, Robert F. Flider, Kevin Joyce and Michael K. Smith",,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0054.htm,illinois/billtexts/GA93/HB0054.txt,,,Foreign,,,,,,,
Illinois,93,HB0060,"Rep. Edward J. Acevedo-Mark H. Beaubien, Jr.-Susana Mendoza-Maria Antonia Berrios-Frank Aguilar, Elaine Nekritz, Marlow H. Colvin, Harry Osterman, Cynthia Soto, Eddie Washington, Julie Hamos, Karen A. Yarbrough, Barbara Flynn Currie, William Delgado, Rosemary Mulligan, Ruth Munson, Jack McGuire, John A. Fritchey, Richard T. Bradley and Randall M. Hultgren | (Sen. Antonio Munoz-Martin A. Sandoval-Miguel del Valle-Iris Y. Martinez-Terry Link, Lawrence M. Walsh, Barack Obama, Carol Ronen, Jacqueline Y. Collins, Steven J. Rauschenberger, James T. Meeks, Jeffrey M. Schoenberg, Kimberly A. Lightford, Don Harmon, Mattie Hunter, Louis S. Viverito, William E. Peterson, M. Maggie Crotty, Rickey R. Hendon, James F. Clayborne, Jr., Denny Jacobs, Ira I. Silverstein, Emil Jones, Jr., John J. Cullerton, Susan Garrett and Donne E. Trotter)",,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0060.htm,illinois/billtexts/GA93/HB0060.txt,,,"Immigration, Alien",,"May 20, 2003",,,,,
Illinois,93,HB0087,"Rep. Lou Lang-Eddie Washington-Mary E. Flowers-Elizabeth Coulson-Jack D. Franks, Patricia Bailey, Joseph M. Lyons, Kenneth Dunkin, Monique D. Davis, Robin Kelly, Arthur L. Turner, Chapin Rose, Robert Rita, Robert F. Flider, Gary Forby, Kevin Joyce, Naomi D. Jakobsson, Frank Aguilar, Jack McGuire, Charles G. Morrow III and Charles E. Jefferson | (Sen. M. Maggie Crotty-Donne E. Trotter-Mattie Hunter-Jacqueline Y. Collins, James T. Meeks and Martin A. Sandoval)",,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0087.htm,illinois/billtexts/GA93/HB0087.txt,,,"Immigration, Alien",,"January 1, 2004",,,,,
Illinois,93,HB0102,"Rep. Mike Boland-Patricia R. Bellock-Charles E. Jefferson, Renee Kosel, Robin Kelly, Sara Feigenholtz, Kevin A. McCarthy and Arthur L. Turner | (Sen. Don Harmon-Ira I. Silverstein-Louis S. Viverito-Jacqueline Y. Collins)",,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0102.htm,illinois/billtexts/GA93/HB0102.txt,,,Foreign,,"January 1, 2004",,,,,
Illinois,93,HB0117,"Rep. Donald L. Moffitt-Michael K. Smith, Dan Brady, Jerry L. Mitchell, Raymond Poe, David A. Wirsing, Mike Bost, Michael P. McAuliffe, Gary Forby, Dan Reitz-Sidney H. Mathias, Jim Sacia, Rich Brauer, Timothy L. Schmitz, Patricia R. Bellock, JoAnn D. Osmond, Suzanne Bassi, Richard P. Myers, Kurt M. Granberg, Thomas Holbrook, Jack D. Franks, Linda Chapa LaVia, James H. Meyer and Jack McGuire | (Sen. Louis S. Viverito)",,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0117.htm,illinois/billtexts/GA93/HB0117.txt,,,Foreign,,"July 23, 2003",,,,,
Illinois,93,HB0118,"Rep. Donald L. Moffitt-Michael K. Smith-Sidney H. Mathias-Mike Boland, Dan Brady, Jerry L. Mitchell, Raymond Poe, David A. Wirsing, Mike Bost, Michael P. McAuliffe, Roger L. Eddy, Jim Sacia, Rich Brauer, Timothy L. Schmitz, Patricia R. Bellock, Mary K. O'Brien, James H. Meyer, JoAnn D. Osmond, Suzanne Bassi, William B. Black, Mary E. Flowers, Kurt M. Granberg, Gary Hannig, Charles A. Hartke, Thomas Holbrook, Richard P. Myers, Harry Osterman, Ricca Slone, Ronald A. Wait, Wyvetter H. Younge, Kenneth Dunkin, Paul D. Froehlich, Brandon W. Phelps, Naomi D. Jakobsson, Robert F. Flider, Dan Reitz and Gary Forby | (Sen. George P. Shadid-Dale E. Risinger)",,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0118.htm,illinois/billtexts/GA93/HB0118.txt,,,"Immigration, Alien",,"July 1, 2003",,,,,
Illinois,93,HB0127,Rep. Arthur L. Turner-Chapin Rose-Kurt M. Granberg-Lou Lang,,https://www.ilga.gov/Documents/legislation/93/HB/09300HB0127.htm,illinois/billtexts/GA93/HB0127.txt,,,Foreign,,,,,,,
