State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Act identifier,Matched keywords,Introduced date,Effective date,Passed introduced chamber date,Passed second chamber date,Dead date,Enacted (Y/N),Enacted Date
Illinois,94,HB0005,Rep. David E. Miller-Marlow H. Colvin,,https://www.ilga.gov/Documents/legislation/94/HB/09400HB0005.htm,illinois/billtexts/GA94/HB0005.txt,,,Foreign,,,,,,,
Illinois,94,HB0007,Rep. David E. Miller,,https://www.ilga.gov/Documents/legislation/94/HB/09400HB0007.htm,illinois/billtexts/GA94/HB0007.txt,,,Border,,"July 1, 2005",,,,,
Illinois,94,HB0024,"Rep. Patricia R. Bellock-Sidney H. Mathias-John A. Fritchey-Sandra M. Pihos-Eileen Lyons, Patricia Reid Lindner, Jack D. Franks, Linda Chapa LaVia and Robert F. Flider",,https://www.ilga.gov/Documents/legislation/94/HB/09400HB0024.htm,illinois/billtexts/GA94/HB0024.txt,,,Foreign,,"July 1, 2005",,,,,
Illinois,94,HB0028,"Rep. Dan Brady-Patricia Bailey, Jack McGuire, Daniel V. Beiser, Brandon W. Phelps, Lisa M. Dugan, Careen M Gordon, Eddie Washington, Michael K. Smith, Robert F. Flider, John D'Amico, Kevin Joyce and Susana A Mendoza",,https://www.ilga.gov/Documents/legislation/94/HB/09400HB0028.htm,illinois/billtexts/GA94/HB0028.txt,,,Foreign,,,,,,,
Illinois,94,HB0033,Rep. Robert W. Pritchard,,https://www.ilga.gov/Documents/legislation/94/HB/09400HB0033.htm,illinois/billtexts/GA94/HB0033.txt,,,Foreign,,,,,,,
Illinois,94,HB0045,"Rep. Karen A. Yarbrough-Paul D. Froehlich-Deborah L. Graham-Cynthia Soto-Larry McKeon, Milton Patterson, Jack McGuire, Wyvetter H. Younge, Kathleen A. Ryg, Naomi D. Jakobsson, Marlow H. Colvin, Constance A. Howard, Eddie Washington, Patricia Bailey, Robert S. Molaro, John A. Fritchey, Julie Hamos, Sandra M. Pihos, William Delgado, Mary E. Flowers, Sara Feigenholtz, Kenneth Dunkin, Robin Kelly, William Davis, Susana A Mendoza, Calvin L. Giles, Harry Osterman, Lovana Jones, Arthur L. Turner, Michelle Chavez and Barbara Flynn Currie",,https://www.ilga.gov/Documents/legislation/94/HB/09400HB0045.htm,illinois/billtexts/GA94/HB0045.txt,,,Citizenship,,,,,,,
Illinois,94,HB0120,"Rep. Bill Mitchell-Jack D. Franks-Linda Chapa LaVia, Robert F. Flider, Daniel V. Beiser and John E. Bradley | (Sen. Bill Brady-Richard J. Winkel, Jr.)",,https://www.ilga.gov/Documents/legislation/94/HB/09400HB0120.htm,illinois/billtexts/GA94/HB0120.txt,,,Migrant,,"August 9, 2005",,,,,
Illinois,94,HB0126,Rep. Bill Mitchell and Robert F. Flider,,https://www.ilga.gov/Documents/legislation/94/HB/09400HB0126.htm,illinois/billtexts/GA94/HB0126.txt,,,Migrant,,,,,,,
Illinois,94,HB0129,"Rep. Edward J. Acevedo-Harry Osterman-William Delgado-Cynthia Soto-Sara Feigenholtz, Michelle Chavez, Maria Antonia Berrios, Susana A Mendoza, Daniel J. Burke, Richard T. Bradley and Robin Kelly",,https://www.ilga.gov/Documents/legislation/94/HB/09400HB0129.htm,illinois/billtexts/GA94/HB0129.txt,,,Foreign,,"July 1, 2006",,,,,
Illinois,94,HB0138,Rep. Timothy L. Schmitz,,https://www.ilga.gov/Documents/legislation/94/HB/09400HB0138.htm,illinois/billtexts/GA94/HB0138.txt,,,Foreign,,,,,,,
