State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Act identifier,Matched keywords,Introduced date,Effective date,Passed introduced chamber date,Passed second chamber date,Dead date,Enacted (Y/N),Enacted Date
Illinois,104,HB0643,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=643&GAID=18&DocTypeID=HB&LegId=156321&SessionID=114,bill_texts/GA104/HB643.txt,,,Border,1/09/2025,,4/10/2025,,6/02/2025,,
Illinois,104,HB0871,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=871&GAID=18&DocTypeID=HB&LegId=156549&SessionID=114,bill_texts/GA104/HB871.txt,,,Alien,1/09/2025,8/15/2025,4/10/2025,5/21/2025,,,8/15/2025
Illinois,104,HB0872,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=872&GAID=18&DocTypeID=HB&LegId=156550&SessionID=114,bill_texts/GA104/HB872.txt,,,Foreign,1/09/2025,,4/11/2025,,6/02/2025,,
Illinois,104,HB1083,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=1083&GAID=18&DocTypeID=HB&LegId=156786&SessionID=114,bill_texts/GA104/HB1083.txt,,,Border,1/09/2025,8/01/2025,4/10/2025,5/21/2025,,,8/01/2025
Illinois,104,HB1302,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=1302&GAID=18&DocTypeID=HB&LegId=157117&SessionID=114,bill_texts/GA104/HB1302.txt,,,Immigration,1/28/2025,8/15/2025,4/09/2025,5/29/2025,,,8/15/2025
Illinois,104,HB1805,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=1805&GAID=18&DocTypeID=HB&LegId=159218&SessionID=114,bill_texts/GA104/HB1805.txt,,,Foreign,1/28/2025,,,,4/11/2025,,
Illinois,104,HB1866,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=1866&GAID=18&DocTypeID=HB&LegId=159436&SessionID=114,bill_texts/GA104/HB1866.txt,,,Border,1/29/2025,8/15/2025,4/07/2025,5/31/2025,,,8/15/2025
Illinois,104,HB1929,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=1929&GAID=18&DocTypeID=HB&LegId=159561&SessionID=114,bill_texts/GA104/HB1929.txt,,,Immigration,2/04/2025,,,,4/11/2025,,
Illinois,104,HB2374,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=2374&GAID=18&DocTypeID=HB&LegId=160087&SessionID=114,bill_texts/GA104/HB2374.txt,,,Border,2/04/2025,,,,4/11/2025,,
Illinois,104,HB2390,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=2390&GAID=18&DocTypeID=HB&LegId=160109&SessionID=114,bill_texts/GA104/HB2390.txt,,,Visa,2/04/2025,8/15/2025,4/10/2025,5/21/2025,,,8/15/2025
Illinois,104,HB2562,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=2562&GAID=18&DocTypeID=HB&LegId=160430&SessionID=114,bill_texts/GA104/HB2562.txt,,,Visa,2/04/2025,8/15/2025,4/09/2025,5/21/2025,,,8/15/2025
Illinois,104,HB2586,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=2586&GAID=18&DocTypeID=HB&LegId=160501&SessionID=114,bill_texts/GA104/HB2586.txt,,,Foreign,2/06/2025,8/11/2025,4/10/2025,5/21/2025,,,8/11/2025
Illinois,104,HB2658,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=2658&GAID=18&DocTypeID=HB&LegId=160620&SessionID=114,bill_texts/GA104/HB2658.txt,,,Foreign,2/06/2025,,4/07/2025,,,,
Illinois,104,HB2785,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=2785&GAID=18&DocTypeID=HB&LegId=160851&SessionID=114,bill_texts/GA104/HB2785.txt,,,Foreign,2/06/2025,8/15/2025,4/11/2025,5/30/2025,,,8/15/2025
Illinois,104,HB2853,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=2853&GAID=18&DocTypeID=HB&LegId=161021&SessionID=114,bill_texts/GA104/HB2853.txt,,,Visa,2/06/2025,,,,4/11/2025,,
Illinois,104,HB2857,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=2857&GAID=18&DocTypeID=HB&LegId=161026&SessionID=114,bill_texts/GA104/HB2857.txt,,,Foreign,2/06/2025,,4/09/2025,,6/02/2025,,
Illinois,104,HB2983,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=2983&GAID=18&DocTypeID=HB&LegId=161233&SessionID=114,bill_texts/GA104/HB2983.txt,,,Foreign,2/06/2025,8/15/2025,4/09/2025,5/22/2025,,,8/15/2025
Illinois,104,HB3023,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=3023&GAID=18&DocTypeID=HB&LegId=161300&SessionID=114,bill_texts/GA104/HB3023.txt,,,"Immigration, Citizenship",2/06/2025,,,,4/11/2025,,
Illinois,104,HB3140,,R,https://www.ilga.gov/Legislation/BillStatus?DocNum=3140&GAID=18&DocTypeID=HB&LegId=161536&SessionID=114,bill_texts/GA104/HB3140.txt,,,Immigration,2/18/2025,8/15/2025,4/07/2025,5/31/2025,5/23/2025,,8/15/2025
Illinois,104,HB3187,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=3187&GAID=18&DocTypeID=HB&LegId=161628&SessionID=114,bill_texts/GA104/HB3187.txt,,,Foreign,2/18/2025,8/15/2025,4/10/2025,5/22/2025,,,8/15/2025
Illinois,104,HB3247,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=3247&GAID=18&DocTypeID=HB&LegId=161733&SessionID=114,bill_texts/GA104/HB3247.txt,,,"Immigration, Citizenship",2/18/2025,8/15/2025,5/28/2025,5/31/2025,4/11/2025,,8/15/2025
Illinois,104,HB3396,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=3396&GAID=18&DocTypeID=HB&LegId=161960&SessionID=114,bill_texts/GA104/HB3396.txt,,,Foreign,2/18/2025,,,,4/11/2025,,
Illinois,104,HB3399,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=3399&GAID=18&DocTypeID=HB&LegId=161963&SessionID=114,bill_texts/GA104/HB3399.txt,,,Foreign,2/18/2025,,4/10/2025,,6/02/2025,,
Illinois,104,HB3503,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=3503&GAID=18&DocTypeID=HB&LegId=162181&SessionID=114,bill_texts/GA104/HB3503.txt,,,Citizenship,2/18/2025,,4/09/2025,,6/02/2025,,
Illinois,104,HB3506,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=3506&GAID=18&DocTypeID=HB&LegId=162191&SessionID=114,bill_texts/GA104/HB3506.txt,,,"Immigration, Citizenship",2/18/2025,,,,4/11/2025,,
Illinois,104,HB3522,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=3522&GAID=18&DocTypeID=HB&LegId=162210&SessionID=114,bill_texts/GA104/HB3522.txt,,,"Visa, Foreign",2/18/2025,6/30/2025,4/07/2025,5/22/2025,,,6/30/2025
Illinois,104,HB3574,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=3574&GAID=18&DocTypeID=HB&LegId=162264&SessionID=114,bill_texts/GA104/HB3574.txt,,,Foreign,2/18/2025,,4/10/2025,,6/02/2025,,
Illinois,104,HB3582,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=3582&GAID=18&DocTypeID=HB&LegId=162275&SessionID=114,bill_texts/GA104/HB3582.txt,,,Citizenship,2/18/2025,,,,4/11/2025,,
Illinois,104,HB3790,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=3790&GAID=18&DocTypeID=HB&LegId=162659&SessionID=114,bill_texts/GA104/HB3790.txt,,,Visa,2/18/2025,,4/10/2025,6/01/2025,7/01/2025,,
Illinois,104,HB3799,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=3799&GAID=18&DocTypeID=HB&LegId=162668&SessionID=114,bill_texts/GA104/HB3799.txt,,,"Alien, Foreign",2/18/2025,,4/10/2025,,,,
Illinois,104,SB0024,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=24&GAID=18&DocTypeID=SB&LegId=157123&SessionID=114,bill_texts/GA104/SB24.txt,"Sen. Laura Fine; Sen. Cristina Castro; Sen. Patrick J. Joyce; Sen. Michael W. Halpin; Sen. Mike Simmons; Sen. Graciela Guzmán; Sen. Paul Faraci; Sen. Napoleon Harris, III; Sen. Celina Villanueva; Sen. Javier L. Cervantes; Sen. Linda Holmes; Sen. Meg Loughran Cappel; Sen. Sara Feigenholtz; Sen. Mattie Hunter; Sen. Steve Stadelman; Sen. Lakesia Collins; Sen. Darby A. Hills; Sen. Sally J. Turner; Sen. Sue Rezin; Sen. Jason Plummer; Sen. Erica Harriss; Sen. Mike Porfirio; Sen. John F. Curran; Sen. Seth Lewis; Sen. Christopher Belt",,Immigration,1/13/2025,8/15/2025,5/22/2025,5/31/2025,3/21/2025,,8/15/2025
Illinois,104,SB0213,,D,https://www.ilga.gov/Legislation/BillStatus?DocNum=213&GAID=18&DocTypeID=SB&LegId=157503&SessionID=114,bill_texts/GA104/SB213.txt,Sen. Mike Simmons,,Alien,1/22/2025,8/01/2025,4/10/2025,5/21/2025,,,8/01/2025
