State,GA,Policy (bill) identifier,Introduced date,Effective date,Passed introduced chamber date,Passed second chamber date,Dead date,Enacted (Y/N),Enacted Date,Matched keywords
Iowa,80,HF80,01/29/2003,,,,03/04/2003,,,Border
Iowa,80,HF23,01/15/2003,,,,03/24/2003,,,Migrant
Iowa,80,HF13,01/14/2003,,,,,,,Foreign
Iowa,80,HF178,02/12/2003,,,,,,,Citizenship
Iowa,80,HF171,02/11/2003,,04/22/2003,03/31/2003,,Y,05/02/2003,Foreign
Iowa,80,HF151,02/06/2003,,,,03/20/2003,,,Alien
Iowa,80,HF149,02/06/2003,,,,,,,Foreign
Iowa,80,HF101,01/31/2003,,,,,,,Citizenship
Iowa,80,HF287,02/25/2003,,,,,,,Border
Iowa,80,HF272,02/24/2003,,,,,,,Foreign
Iowa,80,HF262,02/21/2003,,,,04/23/2003,,,Visa
Iowa,80,HF234,02/18/2003,,03/04/2003,,,,,Border
Iowa,80,HF229,02/18/2003,,,,,,,Visa
Iowa,80,HF219,02/18/2003,,,,,,,Visa
Iowa,80,HF212,02/17/2003,,,,,,,Visa
Iowa,80,HF399,03/04/2003,,,,04/23/2003,,,"Alien, Foreign"
Iowa,80,HF396,03/04/2003,,03/18/2003,04/08/2003,,Y,04/14/2003,Visa
Iowa,80,HF372,03/03/2003,,,,03/31/2003,,,"Alien, Foreign"
Iowa,80,HF350,02/28/2003,,,,04/03/2003,,,Foreign
Iowa,80,HF327,02/26/2003,,,,,,,Foreign
Iowa,80,HF472,03/06/2003,,03/18/2003,04/07/2003,,Y,04/14/2003,Migrant
Iowa,80,HF468,03/06/2003,,,,,,,Foreign
Iowa,80,HF450,03/05/2003,,03/20/2003,04/28/2003,04/28/2003,,,Alien
Iowa,80,HF448,03/05/2003,,,,03/09/2004,,,Alien
Iowa,80,HF445,03/05/2003,,,,,,,Citizenship
Iowa,80,HF415,03/04/2003,,,,,,,Citizenship
Iowa,80,HF402,03/04/2003,,,,,,,Citizenship
Iowa,80,HF534,03/13/2003,,04/21/2003,04/30/2003,,Y,05/23/2003,Foreign
Iowa,80,HF521,03/12/2003,,,,,,,Foreign
Iowa,80,HF514,03/12/2003,,,,,,,Foreign
Iowa,80,HF512,03/12/2003,,,,,,,Foreign
Iowa,80,HF700,04/30/2003,,,,05/01/2003,,,Foreign
Iowa,80,HF692,04/22/2003,,06/03/2003,06/04/2003,,Y,06/19/2003,Foreign
Iowa,80,HF686,04/18/2003,,04/25/2003,,04/28/2003,,,Visa
Iowa,80,HF683,04/16/2003,,06/03/2003,06/04/2003,04/30/2003,Y,06/19/2003,"Citizenship, Migrant, Visa, Border, Foreign"
Iowa,80,HF647,03/19/2003,,03/31/2003,04/16/2003,03/31/2003,Y,04/28/2003,"Alien, Foreign"
Iowa,80,HF636,03/19/2003,,04/07/2003,03/31/2003,,Y,04/14/2003,"Visa, Foreign"
Iowa,80,HF633,03/19/2003,,03/25/2003,,,,,"Alien, Foreign"
Iowa,80,HF617,03/18/2003,,04/03/2003,04/16/2003,,Y,04/28/2003,Foreign
Iowa,80,HF615,03/18/2003,,03/24/2003,03/31/2003,,Y,04/09/2003,Visa
Iowa,80,HF612,03/18/2003,,03/31/2003,04/07/2003,,Y,04/14/2003,Alien
Iowa,80,HF611,03/18/2003,,,,,,,Foreign
Iowa,80,HF610,03/18/2003,,,,,,,Visa
Iowa,80,HF607,03/17/2003,,,,,,,Foreign
Iowa,80,HF605,03/17/2003,,,,02/19/2004,,,Citizenship
Iowa,80,SF97,02/05/2003,,03/17/2003,03/12/2003,03/12/2003,Y,03/28/2003,"Border, Foreign"
Iowa,80,SF60,01/29/2003,,,,,,,Border
Iowa,80,SF59,01/28/2003,,,,,,,Visa
Iowa,80,SF41,01/23/2003,,,,,,,Foreign
Iowa,80,SF31,01/21/2003,,,,,,,Foreign
Iowa,80,SF172,02/19/2003,,04/17/2003,04/14/2003,,Y,04/28/2003,Foreign
Iowa,80,SF165,02/18/2003,,,,,,,Foreign
Iowa,80,SF153,02/17/2003,,,,,,,Foreign
Iowa,80,SF132,02/12/2003,,,,,,,Visa
Iowa,80,SF129,02/12/2003,,,,,,,Visa
Iowa,80,SF124,02/12/2003,,,,,,,Visa
Iowa,80,SF113,02/11/2003,,,,,,,Foreign
