State,GA,Policy (bill) identifier,Introduced date,Effective date,Passed introduced chamber date,Passed second chamber date,Dead date,Enacted (Y/N),Enacted Date,Matched keywords
Iowa,91,HF99,,,,,,,,"Citizenship, Foreign"
Iowa,91,HF91,,,,,,,,Citizenship
Iowa,91,HF83,,,,,,,,"Alien, Foreign"
Iowa,91,HF53,,,,,,,,Border
Iowa,91,HF191,,,,,,,,Border
Iowa,91,HF165,,,,,,,,"Immigration, Citizenship"
Iowa,91,HF151,,,,,,,,Border
Iowa,91,HF144,,,,,,,,Border
Iowa,91,HF115,,,,,,,,"Migrant, Visa"
Iowa,91,HF290,,,,,,,,Citizenship
Iowa,91,HF256,,,,,,,,Foreign
Iowa,91,HF255,,,,,,,,Foreign
Iowa,91,HF254,,,,,,,,Foreign
Iowa,91,HF230,,,,,,,,Alien
Iowa,91,HF210,,,,,,,,Foreign
Iowa,91,HF451,,,,,,,,Foreign
Iowa,91,HF439,,,,,,,,"Immigration, Citizenship, Foreign"
Iowa,91,HF437,,,,,,,,Citizenship
Iowa,91,HF430,,,,,,,,Border
Iowa,91,HF429,,,,,,,,Foreign
Iowa,91,HF428,,,,,,,,"Border, Foreign"
Iowa,91,HF576,,,,,,,,"Migrant, Visa"
Iowa,91,HF575,,,,,,,,Foreign
Iowa,91,HF572,,,,,,,,Immigration
Iowa,91,HF688,,,,,,,,Foreign
Iowa,91,HF687,,,,,,,,Foreign
Iowa,91,HF666,,,,,,,,"Alien, Foreign"
Iowa,91,HF800,,,,,,,,Foreign
Iowa,91,HF778,,,,,,,,Foreign
Iowa,91,HF759,,,,,,,,Foreign
Iowa,91,HF756,,,,,,,,Foreign
Iowa,91,HF732,,,,,,,,Citizenship
Iowa,91,HF730,,,,,,,,Border
Iowa,91,HF828,,,,,,,,Immigration
Iowa,91,HF997,,,,,,,,Foreign
Iowa,91,HF954,,,,,,,,Citizenship
Iowa,91,HF952,,,,,,,,Foreign
Iowa,91,HF946,,,,,,,,Immigration
Iowa,91,HF930,,,,,,,,Foreign
Iowa,91,HF927,,,,,,,,Border
Iowa,91,HF912,,,,,,,,Foreign
Iowa,91,HF1045,,,,,,,,Citizenship
Iowa,91,HF1043,,,,,,,,Foreign
Iowa,91,HF1040,,,,,,,,Alien
Iowa,91,HF1028,,,,,,,,Foreign
Iowa,91,SF94,,,,,,,,Citizenship
Iowa,91,SF55,,,,,,,,Alien
Iowa,91,SF54,,,,,,,,Foreign
Iowa,91,SF48,,,,,,,,Foreign
Iowa,91,SF2,,,,,,,,Foreign
Iowa,91,SF173,,,,,,,,Border
Iowa,91,SF161,,,,,,,,Alien
Iowa,91,SF155,,,,,,,,"Citizenship, Foreign"
Iowa,91,SF127,,,,,,,,Citizenship
Iowa,91,SF297,,,,,,,,Foreign
Iowa,91,SF279,,,,,,,,Alien
Iowa,91,SF227,,,,,,,,Foreign
Iowa,91,SF221,,,,,,,,Foreign
Iowa,91,SF396,,,,,,,,Foreign
Iowa,91,SF390,,,,,,,,Foreign
Iowa,91,SF369,,,,,,,,"Immigration, Citizenship"
Iowa,91,SF354,,,,,,,,Border
Iowa,91,SF307,,,,,,,,Foreign
Iowa,91,SF302,,,,,,,,"Citizenship, Foreign"
Iowa,91,SF495,,,,,,,,Alien
Iowa,91,SF494,,,,,,,,Alien
Iowa,91,SF479,,,,,,,,Foreign
Iowa,91,SF477,,,,,,,,Foreign
Iowa,91,SF435,,,,,,,,Border
Iowa,91,SF586,,,,,,,,Foreign
Iowa,91,SF570,,,,,,,,Foreign
Iowa,91,SF550,,,,,,,,Citizenship
Iowa,91,SF532,,,,,,,,Alien
Iowa,91,SF519,,,,,,,,Citizenship
Iowa,91,SF517,,,,,,,,Foreign
Iowa,91,SF509,,,,,,,,Foreign
Iowa,91,SF646,,,,,,,,Foreign
Iowa,91,SF645,,,,,,,,Alien
Iowa,91,SF630,,,,,,,,Foreign
Iowa,91,SF614,,,,,,,,Visa
Iowa,91,HSB89,,,,,,,,Visa
Iowa,91,HSB80,,,,,,,,Border
Iowa,91,HSB72,,,,,,,,Foreign
Iowa,91,HSB71,,,,,,,,Foreign
Iowa,91,HSB54,,,,,,,,Foreign
Iowa,91,HSB52,,,,,,,,Citizenship
Iowa,91,HSB37,,,,,,,,"Immigration, Citizenship, Foreign"
Iowa,91,HSB30,,,,,,,,"Immigration, Citizenship"
Iowa,91,HSB187,,,,,,,,Immigration
Iowa,91,HSB177,,,,,,,,Foreign
Iowa,91,HSB141,,,,,,,,Foreign
Iowa,91,HSB137,,,,,,,,"Immigration, Citizenship"
Iowa,91,HSB132,,,,,,,,Foreign
Iowa,91,HSB119,,,,,,,,Foreign
Iowa,91,HSB115,,,,,,,,Foreign
Iowa,91,HSB109,,,,,,,,Foreign
Iowa,91,HSB293,,,,,,,,Border
Iowa,91,HSB291,,,,,,,,Foreign
Iowa,91,HSB289,,,,,,,,Foreign
Iowa,91,HSB285,,,,,,,,Immigration
Iowa,91,HSB282,,,,,,,,Immigration
Iowa,91,HSB281,,,,,,,,Citizenship
Iowa,91,HSB223,,,,,,,,Foreign
Iowa,91,HSB211,,,,,,,,Foreign
Iowa,91,HSB338,,,,,,,,Foreign
Iowa,91,HSB337,,,,,,,,Citizenship
Iowa,91,HSB336,,,,,,,,Alien
Iowa,91,HSB309,,,,,,,,Foreign
Iowa,91,HSB308,,,,,,,,Foreign
