State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Enacted (Y/N),Act identifier,Enacted Date,Matched keywords
Iowa,80,HF80,"WENDT and WHITEAD JAN 2 9 2003 NATURAL RESOURCES Passed House, Date vote: Ayes Nays Passed Senate, Date vote: Ayes _ __ Nays Approved",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF80&ga=80,bill_texts/GA80/HF80.txt,,,,,Border
Iowa,80,HF23,"TYMESON Passed House, Date Vote: Ayes - - - - - Passed Senate, Date _____ _ Nays ______ _ Vote: Ayes Nays ______ __ Approved ____________________ ___",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF23&ga=80,bill_texts/GA80/HF23.txt,,,,,Migrant
Iowa,80,HF13,"WISE \ 3 Passed House, Date Vote: Ayes - - - - - Nays __ _ Passed Senate, Date Vote: Ayes - - - - - - Nays ___ _ Approved ____________ __",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF13&ga=80,bill_texts/GA80/HF13.txt,,,Chapter 1124,,Foreign
Iowa,80,HF178,"BERRY and SHOULTZ Passed House, Date Vote: Ayes ____ Nays - - - - - - Passed Senate, Date _______ __ Vote: Ayes ____ Nays Approved ____ ______ ___ _",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF178&ga=80,bill_texts/GA80/HF178.txt,,,,,Citizenship
Iowa,80,HF171,,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF171&ga=80,bill_texts/GA80/HF171.txt,,,Chapter 504,,Foreign
Iowa,80,HF151,"EICHHORN • Passed House, Date ------ Vote: Ayes _ _ _ Nays Passed Senate, Date - - - - - - Vote: Ayes Nays Approved __ _____ ___ ___ _",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF151&ga=80,bill_texts/GA80/HF151.txt,,,,,Alien
Iowa,80,HF149,"CONNORS 'Lt'3 Passed House, Date Vote: Ayes ____ Nays ______ _ Vote: Ayes Passed Senate, Date Nays Approved __________________________ _",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF149&ga=80,bill_texts/GA80/HF149.txt,,,,,Foreign
Iowa,80,HF101,"MURPHY Passed House, Vote: Ayes __ _ Nays Date Approved Passed Senate, Date Vote: Ayes Nays",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF101&ga=80,bill_texts/GA80/HF101.txt,,,,,Citizenship
Iowa,80,HF287,"JOCHUM Passed House, Date Vote: Ayes ___ Nays Approved Passed Senate, Date Vote: Ayes ___ Nays",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF287&ga=80,bill_texts/GA80/HF287.txt,,,,,Border
Iowa,80,HF272,"JOCHUM .. • Passed House, Date Vote: Ayes Nays Passed Senate, Date Vote: Ayes Nays Approved __________________________ __",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF272&ga=80,bill_texts/GA80/HF272.txt,,,Chapter 1003,,Foreign
Iowa,80,HF262,"TYMESON and HOFFMAN Passed House, Date Vote: Ayes Nays Approved Passed Senate, Date - - - - - - Vote: Ayes Nays",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF262&ga=80,bill_texts/GA80/HF262.txt,,,Chapter 422,,Visa
Iowa,80,HF234,"COMMITTEE ON NATURAL RESOURCES (SUCCESSOR TO HF 80) Passed House, Date Passed Senate, Date Vote: Ayes Nays Vote: Ayes Nays Approved",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF234&ga=80,bill_texts/GA80/HF234.txt,,,Chapter 257,,Border
