State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Act identifier,Matched keywords,Introduced date,Effective date,Passed introduced chamber date,Passed second chamber date,Dead date,Enacted (Y/N),Enacted Date
Ohio,134,SB1,,,https://legislature.ohio.gov/legislation/134/sb1,ohio_bill_texts\GA134_SB1.txt,,,Foreign,1-14-2021,1-27-2022,5-12-2021,9-29-2021,,Y,10-28-2021
Ohio,134,SB2,,,https://legislature.ohio.gov/legislation/134/sb2,ohio_bill_texts\GA134_SB2.txt,,,Foreign,1-14-2021,,2-10-2021,3-25-2021,,Y,4-27-2021
Ohio,134,SB3,,,https://legislature.ohio.gov/legislation/134/sb3,ohio_bill_texts\GA134_SB3.txt,,,Foreign,1-19-2021,9-30-2021,2-24-2021,6-23-2021,,Y,7-1-2021
Ohio,134,SB6,,,https://legislature.ohio.gov/legislation/134/sb6,ohio_bill_texts\GA134_SB6.txt,,,Foreign,1-19-2021,9-30-2021,4-21-2021,6-23-2021,,Y,7-1-2021
Ohio,134,SB13,,,https://legislature.ohio.gov/legislation/134/sb13,ohio_bill_texts\GA134_SB13.txt,,,Foreign,1-21-2021,,2-3-2021,2-25-2021,,Y,3-16-2021
Ohio,134,SB17,,,https://legislature.ohio.gov/legislation/134/sb17,ohio_bill_texts\GA134_SB17.txt,,,Citizenship; Alien,1-26-2021,,,,,N,
Ohio,134,SB36,,,https://legislature.ohio.gov/legislation/134/sb36,ohio_bill_texts\GA134_SB36.txt,,,Foreign,2-2-2021,,3-3-2021,10-27-2021,,Y,11-30-2021
Ohio,134,SB45,,,https://legislature.ohio.gov/legislation/134/sb45,ohio_bill_texts\GA134_SB45.txt,,,Foreign,2-2-2021,,,,,N,
Ohio,134,SB55,,,https://legislature.ohio.gov/legislation/134/sb55,ohio_bill_texts\GA134_SB55.txt,,,Foreign,2-9-2021,,,,,N,
Ohio,134,SB59,,,https://legislature.ohio.gov/legislation/134/sb59,ohio_bill_texts\GA134_SB59.txt,,,Border,2-9-2021,,4-28-2021,11-17-2021,,Y,12-22-2021
Ohio,134,SB62,,,https://legislature.ohio.gov/legislation/134/sb62,ohio_bill_texts\GA134_SB62.txt,,,Foreign,2-17-2021,,,,,N,
Ohio,134,SB73,,,https://legislature.ohio.gov/legislation/134/sb73,ohio_bill_texts\GA134_SB73.txt,,,Foreign,2-23-2021,,,,,N,
Ohio,134,SB78,,,https://legislature.ohio.gov/legislation/134/sb78,ohio_bill_texts\GA134_SB78.txt,,,Foreign,2-23-2021,,,,,N,
Ohio,134,SB98,,,https://legislature.ohio.gov/legislation/134/sb98,ohio_bill_texts\GA134_SB98.txt,,,Foreign,2-24-2021,,,,,N,
