State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Act identifier,Matched keywords,Introduced date,Effective date,Passed introduced chamber date,Passed second chamber date,Dead date,Enacted (Y/N),Enacted Date
Ohio,135,SB1,,,https://legislature.ohio.gov/legislation/135/sb1,ohio_bill_texts\GA135_SB1.txt,,,Immigration; Citizenship; Alien; Migrant; Border; Foreign,1-11-2023,,3-1-2023,,,N,
Ohio,135,SB9,,,https://legislature.ohio.gov/legislation/135/sb9,ohio_bill_texts\GA135_SB9.txt,,,Foreign,1-11-2023,,,,,N,
Ohio,135,SB14,,,https://legislature.ohio.gov/legislation/135/sb14,ohio_bill_texts\GA135_SB14.txt,,,Foreign,1-11-2023,,,,,N,
Ohio,135,SB16,,,https://legislature.ohio.gov/legislation/135/sb16,ohio_bill_texts\GA135_SB16.txt,,,Foreign,1-11-2023,,4-26-2023,6-21-2023,,Y,7-7-2023
Ohio,135,SB17,,,https://legislature.ohio.gov/legislation/135/sb17,ohio_bill_texts\GA135_SB17.txt,,,Foreign,1-11-2023,,3-8-2023,2-7-2024,,Y,3-13-2024
Ohio,135,SB18,,,https://legislature.ohio.gov/legislation/135/sb18,ohio_bill_texts\GA135_SB18.txt,,,Foreign,1-11-2023,,,,,N,
Ohio,135,SB45,,,https://legislature.ohio.gov/legislation/135/sb45,ohio_bill_texts\GA135_SB45.txt,,,Border,2-7-2023,,2-28-2024,,,N,
Ohio,135,SB48,,,https://legislature.ohio.gov/legislation/135/sb48,ohio_bill_texts\GA135_SB48.txt,,,Foreign,2-7-2023,,,,,N,
Ohio,135,SB50,,,https://legislature.ohio.gov/legislation/135/sb50,ohio_bill_texts\GA135_SB50.txt,,,Border; Foreign,2-7-2023,,,,,N,
Ohio,135,SB52,,,https://legislature.ohio.gov/legislation/135/sb52,ohio_bill_texts\GA135_SB52.txt,,,Foreign,2-7-2023,,,,,N,
Ohio,135,SB60,,,https://legislature.ohio.gov/legislation/135/sb60,ohio_bill_texts\GA135_SB60.txt,,,Foreign,2-16-2023,,6-26-2024,,,N,
Ohio,135,SB74,,,https://legislature.ohio.gov/legislation/135/sb74,ohio_bill_texts\GA135_SB74.txt,,,Foreign,2-28-2023,,5-31-2023,,,N,
Ohio,135,SB76,,,https://legislature.ohio.gov/legislation/135/sb76,ohio_bill_texts\GA135_SB76.txt,,,Foreign,2-28-2023,,,,,N,
Ohio,135,SB83,,,https://legislature.ohio.gov/legislation/135/sb83,ohio_bill_texts\GA135_SB83.txt,,,Immigration; Foreign,3-14-2023,,5-17-2023,,,N,
Ohio,135,SB87,,,https://legislature.ohio.gov/legislation/135/sb87,ohio_bill_texts\GA135_SB87.txt,,,Foreign,3-21-2023,,,,,N,
Ohio,135,SB95,,,https://legislature.ohio.gov/legislation/135/sb95,ohio_bill_texts\GA135_SB95.txt,,,Foreign,3-23-2023,,5-22-2024,12-10-2024,,Y,1-8-2025
Ohio,135,SB97,,,https://legislature.ohio.gov/legislation/135/sb97,ohio_bill_texts\GA135_SB97.txt,,,Border,3-28-2023,,,,,N,
Ohio,135,SB98,,,https://legislature.ohio.gov/legislation/135/sb98,ohio_bill_texts\GA135_SB98.txt,,,Foreign,3-28-2023,,12-13-2023,6-26-2024,,Y,7-24-2024
Ohio,135,SB100,,,https://legislature.ohio.gov/legislation/135/sb100,ohio_bill_texts\GA135_SB100.txt,,,Foreign,3-28-2023,,6-7-2023,12-10-2024,,Y,12-19-2024
Ohio,135,SB101,,,https://legislature.ohio.gov/legislation/135/sb101,ohio_bill_texts\GA135_SB101.txt,,,Foreign,3-29-2023,,,,,N,
Ohio,135,SB103,,,https://legislature.ohio.gov/legislation/135/sb103,ohio_bill_texts\GA135_SB103.txt,,,Foreign,4-5-2023,,,,,N,
