State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Act identifier,Matched keywords,Introduced date,Effective date,Passed introduced chamber date,Passed second chamber date,Dead date,Enacted (Y/N),Enacted Date
Ohio,136,SB1,Jerry C. Cirino,,https://legislature.ohio.gov/legislation/136/sb1,ohio_bill_texts\GA136_SB1.txt,Andrew O. Brenner; Brian M. Chavez; Al Cutrona; Stephen A. Huffman; Terry Johnson; Kyle Koehler; George F. Lang; Susan Manchester; Sandra O'Brien; Bill Reineke; Kristina D. Roegner; Mark Romanchuk; Tim Schaffer; Jane M. Timken; Shane Wilkin; Tim Barhorst; Adam C. Bird; Gary Click; Meredith Craig; Rodney Creech; Levi Dean; Steve Demetriou; Michael D. Dovilla; Tex Fischer; Sarah Fowler Arthur; Jennifer Gross; Thomas Hall; Mark Hiner; Marilyn John; Angela N. King; Beth Lear; Brian Lorenz; Adam Mathews; Ty D. Mathews; Riordan T. McClain; Melanie Miller; Johnathan Newman; Phil Plummer; Kevin Ritter; Monica Robb Blasdel; Brian Stewart; David Thomas; Josh Williams; Bernard Willis; Heidi Workman; Tom Young,,Immigration; Citizenship; Foreign,,,,,,N,
Ohio,136,SB7,Terry Johnson,,https://legislature.ohio.gov/legislation/136/sb7,ohio_bill_texts\GA136_SB7.txt,"Nickie J. Antonio; Willis E. Blackshear, Jr.; Andrew O. Brenner; Jerry C. Cirino; Al Cutrona; William P. DeMora; Theresa Gavarone; Paula Hicks-Hudson; Stephen A. Huffman; Catherine D. Ingram; Al Landis; Beth Liston; Sandra O'Brien; Thomas F. Patton; Bill Reineke; Michele Reynolds; Kristina D. Roegner; Mark Romanchuk; Tim Schaffer; Jane M. Timken; Casey Weinstein; Shane Wilkin",,Foreign,,,,,,N,
Ohio,136,SB10,Steve Wilson; George F. Lang,,https://legislature.ohio.gov/legislation/136/sb10,ohio_bill_texts\GA136_SB10.txt,,,Foreign,,,,,,N,
Ohio,136,SB11,"Louis W. Blessing, III; William P. DeMora",,https://legislature.ohio.gov/legislation/136/sb11,ohio_bill_texts\GA136_SB11.txt,Kent Smith,,Immigration; Visa,,,,,,N,
Ohio,136,SB28,"Louis W. Blessing, III; Nickie J. Antonio",,https://legislature.ohio.gov/legislation/136/sb28,ohio_bill_texts\GA136_SB28.txt,Hearcel F. Craig; Paula Hicks-Hudson; Casey Weinstein,,Foreign,,,,,,N,
Ohio,136,SB36,Jerry C. Cirino; George F. Lang,,https://legislature.ohio.gov/legislation/136/sb36,ohio_bill_texts\GA136_SB36.txt,,,Foreign,,,,,,N,
Ohio,136,SB43,Sandra O'Brien; George F. Lang,,https://legislature.ohio.gov/legislation/136/sb43,ohio_bill_texts\GA136_SB43.txt,,,Border,,,,,,N,
Ohio,136,SB56,Stephen A. Huffman,,https://legislature.ohio.gov/legislation/136/sb56,ohio_bill_texts\GA136_SB56.txt,Andrew O. Brenner; Jerry C. Cirino; Bill Reineke; Michele Reynolds; Tim Schaffer; Steve Wilson; Sean P. Brennan; Darnell T. Brewer; Karen Brownlee; Jamie Callender; Sarah Fowler Arthur; Latyna M. Humphrey; Marilyn John; Johnathan Newman; Mike Odioso; Phil Plummer; Mark Sigrist; Brian Stewart; Eric Synenberg; Josh Williams; Bernard Willis; Tom Young,,Foreign,,,,,,N,
Ohio,136,SB58,Hearcel F. Craig; Michele Reynolds,,https://legislature.ohio.gov/legislation/136/sb58,ohio_bill_texts\GA136_SB58.txt,William P. DeMora; Catherine D. Ingram; Kent Smith; Casey Weinstein,,Foreign,,,,,,N,
Ohio,136,SB59,Al Cutrona; Tim Schaffer,,https://legislature.ohio.gov/legislation/136/sb59,ohio_bill_texts\GA136_SB59.txt,Terry Johnson; Kyle Koehler; Shane Wilkin,,Foreign,,,,,,N,
Ohio,136,SB67,Beth Liston; Mark Romanchuk,,https://legislature.ohio.gov/legislation/136/sb67,ohio_bill_texts\GA136_SB67.txt,,,Citizenship,,,,,,N,
Ohio,136,SB78,Paula Hicks-Hudson; William P. DeMora,,https://legislature.ohio.gov/legislation/136/sb78,ohio_bill_texts\GA136_SB78.txt,Nickie J. Antonio; Hearcel F. Craig; Beth Liston; Kent Smith; Casey Weinstein,,Migrant,,,,,,N,
Ohio,136,SB79,"Louis W. Blessing, III; Willis E. Blackshear, Jr.",,https://legislature.ohio.gov/legislation/136/sb79,ohio_bill_texts\GA136_SB79.txt,,,Foreign,,,,,,N,
Ohio,136,SB85,Kent Smith; Hearcel F. Craig,,https://legislature.ohio.gov/legislation/136/sb85,ohio_bill_texts\GA136_SB85.txt,"Nickie J. Antonio; Willis E. Blackshear, Jr.; Louis W. Blessing, III; Jerry C. Cirino; William P. DeMora; Theresa Gavarone; Catherine D. Ingram; Al Landis; George F. Lang; Beth Liston; Thomas F. Patton; Bill Reineke; Michele Reynolds; Kristina D. Roegner; Mark Romanchuk; Tim Schaffer; Jane M. Timken; Casey Weinstein; Steve Wilson",,Citizenship,,,,,,N,
Ohio,136,SB86,Stephen A. Huffman; Shane Wilkin,,https://legislature.ohio.gov/legislation/136/sb86,ohio_bill_texts\GA136_SB86.txt,Nickie J. Antonio; Hearcel F. Craig; Al Cutrona; William P. DeMora; Theresa Gavarone; Kyle Koehler; Al Landis; Beth Liston; Sandra O'Brien; Thomas F. Patton; Bill Reineke; Tim Schaffer; Kent Smith; Jane M. Timken; Steve Wilson,,Citizenship; Foreign,,,,,,N,
Ohio,136,SB88,Terry Johnson,,https://legislature.ohio.gov/legislation/136/sb88,ohio_bill_texts\GA136_SB88.txt,,,Foreign,,,,,,N,
Ohio,136,SB102,Thomas F. Patton,,https://legislature.ohio.gov/legislation/136/sb102,ohio_bill_texts\GA136_SB102.txt,,,Foreign,,,,,,N,
Ohio,136,SB104,Andrew O. Brenner,,https://legislature.ohio.gov/legislation/136/sb104,ohio_bill_texts\GA136_SB104.txt,,,Border; Foreign,,,,,,N,
Ohio,136,SB110,Jerry C. Cirino; Brian M. Chavez,,https://legislature.ohio.gov/legislation/136/sb110,ohio_bill_texts\GA136_SB110.txt,,,Border,,,,,,N,
Ohio,136,SB115,George F. Lang; Steve Wilson,,https://legislature.ohio.gov/legislation/136/sb115,ohio_bill_texts\GA136_SB115.txt,Jerry C. Cirino; Shane Wilkin,,Foreign,,,,,,N,
Ohio,136,SB117,George F. Lang,,https://legislature.ohio.gov/legislation/136/sb117,ohio_bill_texts\GA136_SB117.txt,,,Foreign,,,,,,N,
Ohio,136,SB125,Thomas F. Patton,,https://legislature.ohio.gov/legislation/136/sb125,ohio_bill_texts\GA136_SB125.txt,,,Foreign,,,,,,N,
Ohio,136,SB126,Shane Wilkin; George F. Lang,,https://legislature.ohio.gov/legislation/136/sb126,ohio_bill_texts\GA136_SB126.txt,,,Foreign,,,,,,N,
Ohio,136,SB129,Kyle Koehler,,https://legislature.ohio.gov/legislation/136/sb129,ohio_bill_texts\GA136_SB129.txt,George F. Lang; Mark Romanchuk,,Foreign,,,,,,N,
Ohio,136,SB133,Nickie J. Antonio; Stephen A. Huffman,,https://legislature.ohio.gov/legislation/136/sb133,ohio_bill_texts\GA136_SB133.txt,,,Foreign,,,,,,N,
Ohio,136,SB134,Nickie J. Antonio; Stephen A. Huffman,,https://legislature.ohio.gov/legislation/136/sb134,ohio_bill_texts\GA136_SB134.txt,"Willis E. Blackshear, Jr.; Louis W. Blessing, III; Hearcel F. Craig; Al Cutrona; Paula Hicks-Hudson; Catherine D. Ingram; George F. Lang; Kristina D. Roegner; Steve Wilson",,Foreign,,,,,,N,
Ohio,136,SB145,Michele Reynolds; Hearcel F. Craig,,https://legislature.ohio.gov/legislation/136/sb145,ohio_bill_texts\GA136_SB145.txt,,,Migrant; Border; Foreign,,,,,,N,
Ohio,136,SB146,Theresa Gavarone; Jane M. Timken,,https://legislature.ohio.gov/legislation/136/sb146,ohio_bill_texts\GA136_SB146.txt,Brian M. Chavez; Jerry C. Cirino; Al Cutrona; Catherine D. Ingram; Nathan H. Manning; Sandra O'Brien; Bill Reineke; Kristina D. Roegner; Mark Romanchuk; Tim Schaffer; Steve Wilson,,Foreign,,,,,,N,
Ohio,136,SB148,Jerry C. Cirino,,https://legislature.ohio.gov/legislation/136/sb148,ohio_bill_texts\GA136_SB148.txt,"Nickie J. Antonio; Louis W. Blessing, III; Andrew O. Brenner; Hearcel F. Craig; William P. DeMora; Theresa Gavarone; Terry Johnson; Al Landis; Sandra O'Brien; Thomas F. Patton; Bill Reineke; Michele Reynolds; Kristina D. Roegner; Mark Romanchuk; Tim Schaffer; Kent Smith; Jane M. Timken; Casey Weinstein; Shane Wilkin; Cindy Abrams; Tim Barhorst; Sean P. Brennan; Juanita O. Brent; Karen Brownlee; Jamie Callender; Christine Cockley; Rodney Creech; Jack K. Daniels; Kellie Deeter; Michael D. Dovilla; Sarah Fowler Arthur; Haraz N. Ghanbari; Michele Grim; Jennifer Gross; Derrick Hall; James M. Hoops; Dontavius L. Jarrells; Marilyn John; Mark Johnson; Angela N. King; Roy Klopfenstein; Crystal Lett; Brian Lorenz; Gayle Manning; Adam Mathews; Ty D. Mathews; Joseph A. Miller, III; Melanie Miller; Ismail Mohamed; Johnathan Newman; Bob Peterson; Phil Plummer; Sharon A. Ray; Tracy M. Richardson; Monica Robb Blasdel; Phillip M. Robinson, Jr.; Elgin Rogers, Jr.; C. Allison Russo; Jodi Salvo; Jean Schmidt; Mark Sigrist; Veronica R. Sims; Eric Synenberg; Cecil Thomas; Daniel P. Troy; Terrence Upchurch; Andrea White; Bernard Willis",,Border,,,,,,N,
Ohio,136,SB153,Theresa Gavarone; Andrew O. Brenner,,https://legislature.ohio.gov/legislation/136/sb153,ohio_bill_texts\GA136_SB153.txt,,,Citizenship; Alien,,,,,,N,
