State,Policy (bill) identifier,bill text,Cosponsor,Introduced (Y/N),Introduced date,Chamber where introduced,Effective (Y/N),Effective date,Passed introduced chamber (Y/N),Passed introduced chamber date,Passed second chamber (Y/N),Passed second chamber date,Pending (Y/N),Dead (Y/N),Chamber where died,Dead date,Enacted (Y/N),Act identifier,Enacted Date,Matched keywords
Iowa,HF99,bill_texts/GA91/HF99.txt,,,,House,,,,,,,Y,,,,,,,"Citizenship, Foreign"
Iowa,HF91,bill_texts/GA91/HF91.txt,,,,House,,,,,,,Y,,,,,,,Citizenship
Iowa,HF83,bill_texts/GA91/HF83.txt,,,,House,,,,,,,Y,,,,,,,"Alien, Foreign"
Iowa,HF53,bill_texts/GA91/HF53.txt,,,,House,,,,,,,Y,,,,,,,Border
Iowa,HF191,bill_texts/GA91/HF191.txt,,,,House,,,,,,,Y,,,,,,,Border
Iowa,HF165,bill_texts/GA91/HF165.txt,,,,House,,,,,,,Y,,,,,,,"Immigration, Citizenship"
Iowa,HF151,bill_texts/GA91/HF151.txt,,,,House,,,,,,,Y,,,,,Chapter 468,,Border
Iowa,HF144,bill_texts/GA91/HF144.txt,,,,House,,,,,,,Y,,,,,,,Border
Iowa,HF115,bill_texts/GA91/HF115.txt,,,,House,,,,,,,Y,,,,,Chapter 256,,"Migrant, Visa"
Iowa,HF290,bill_texts/GA91/HF290.txt,,,,House,,,,,,,Y,,,,,,,Citizenship
Iowa,HF256,bill_texts/GA91/HF256.txt,,,,House,,,,,,,Y,,,,,Chapter 147,,Foreign
Iowa,HF255,bill_texts/GA91/HF255.txt,,,,House,,,,,,,Y,,,,,,,Foreign
Iowa,HF254,bill_texts/GA91/HF254.txt,,,,House,,,,,,,Y,,,,,Chapter 148,,Foreign
Iowa,HF230,bill_texts/GA91/HF230.txt,,,,House,,,,,,,Y,,,,,,,Alien
Iowa,HF210,bill_texts/GA91/HF210.txt,,,,House,,,,,,,Y,,,,,Chapter 535,,Foreign
Iowa,HF469,bill_texts/GA91/HF469.txt,,,,House,,,,,,,Y,,,,,Chapter 239,,Foreign
Iowa,HF451,bill_texts/GA91/HF451.txt,,,,House,,,,,,,Y,,,,,Chapter 423,,Foreign
Iowa,HF439,bill_texts/GA91/HF439.txt,,,,House,,,,,,,Y,,,,,,,"Immigration, Citizenship, Foreign"
Iowa,HF437,bill_texts/GA91/HF437.txt,,,,House,,,,,,,Y,,,,,,,Citizenship
Iowa,HF430,bill_texts/GA91/HF430.txt,,,,House,,,,,,,Y,,,,,,,Border
Iowa,HF429,bill_texts/GA91/HF429.txt,,,,House,,,,,,,Y,,,,,,,Foreign
