State,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Introduced (Y/N),Introduced date,Chamber where introduced,Effective (Y/N),Effective date,Passed introduced chamber (Y/N),Passed introduced chamber date,Passed second chamber (Y/N),Passed second chamber date,Pending (Y/N),Dead (Y/N),Chamber where died,Dead date,Enacted (Y/N),Act identifier,Enacted Date,Matched keywords
Iowa,HF99,GUSTOFF,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF99&ga=91,bill_texts/GA91/HF99.txt,,,,House,,,,,,,Y,,,,,,,"Citizenship, Foreign"
Iowa,HF91,GOLDING,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF91&ga=91,bill_texts/GA91/HF91.txt,,,,House,,,,,,,Y,,,,,,,Citizenship
Iowa,HF83,DIEKEN,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF83&ga=91,bill_texts/GA91/HF83.txt,,,,House,,,,,,,Y,,,,,,,"Alien, Foreign"
Iowa,HF53,WHEELER,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF53&ga=91,bill_texts/GA91/HF53.txt,,,,House,,,,,,,Y,,,,,,,Border
Iowa,HF191,"SHIPLEY, FETT, HAYES, GOLDING, SMITH, A. MEYER, WENGRYN, SIECK, BODEN, ANDREWS, GUSTOFF, WILLIAMS, CISNEROS, YOUNG, THOMPSON, DIEKEN, THOMSON, GEHLBACH, SITZMANN, SORENSEN, WHEELER, WOOD, and NORDMAN",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF191&ga=91,bill_texts/GA91/HF191.txt,,,,House,,,,,,,Y,,,,,,,Border
Iowa,HF165,COMMITTEE ON EDUCATION (SUCCESSOR TO HSB 30),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF165&ga=91,bill_texts/GA91/HF165.txt,,,,House,,,,,,,Y,,,,,,,"Immigration, Citizenship"
Iowa,HF151,"WESSEL-KROESCHELL, LEVIN, R. JOHNSON, KRESSIG, McBURNEY, MADISON, GOSA, WICHTENDAHL, BROWN-POWERS, B. MEYER, and KURTH",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF151&ga=91,bill_texts/GA91/HF151.txt,,,,House,,,,,,,Y,,,,,Chapter 468,,Border
Iowa,HF144,"COMMITTEE ON WAYS AND MEANS (SUCCESSOR TO HSB 80) (As Amended and Passed by the House January 30, 2025 )",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF144&ga=91,bill_texts/GA91/HF144.txt,,,,House,,,,,,,Y,,,,,,,Border
Iowa,HF115,COLLINS and HARRIS,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF115&ga=91,bill_texts/GA91/HF115.txt,,,,House,,,,,,,Y,,,,,Chapter 256,,"Migrant, Visa"
Iowa,HF290,TUREK,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF290&ga=91,bill_texts/GA91/HF290.txt,,,,House,,,,,,,Y,,,,,,,Citizenship
Iowa,HF256,LOHSE (COMPANION TO SF 2 BY LOFGREN),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF256&ga=91,bill_texts/GA91/HF256.txt,,,,House,,,,,,,Y,,,,,Chapter 147,,Foreign
